,Name,PMID,Description
0,AspirinHypersensitivity in Patients With Atherosclerotic Cardiovascular Disease.,39443019,"Aspirinhypersensitivity is often misinterpreted and confused withaspirinintolerance, with treatment approaches being often unclear and lacking specific recommendations.Aspirindesensitization and low-doseaspirinchallenge have emerged as pragmatic…"
1,Aspirinnanosensors.,40058719,"The accurate detection ofaspirinin biological and environmental samples is essential for ensuring therapeutic efficacy and safety, particularly in patients at risk of stroke. ...This review synthesizes current research findings, explores the mechanisms underlying nanosen …"
2,"Efficacy and safety of clopidogrel versusaspirinmonotherapy in patients at high risk of subsequent cardiovascular event after percutaneous coronary intervention (SMART-CHOICE 3): a randomised, open-label, multicentre trial.",40174599,Death from any cause occurred in 50 patients in the clopidogrel group and 70 in theaspiringroup (2.4% [1.6-3.1] vs 4.0% [2.9-5.0] at 3 years; 0.71 [0.49-1.02]); myocardial infarction in 23 patients in the clopidogrel group and 42 in theaspiringroup (1.0% [0.6-1. …
3,Rivaroxaban plusaspirinafter lower-extremity revascularization.,39560465,"Recent large, randomized trials have demonstrated substantial benefit from the combination of low-dose rivaroxaban andaspirincompared withaspirinalone. Despite this new evidence, uptake remains limited. ...EXPERT OPINION: Combination of low-dose rivaroxaban and …"
4,AspirinUse and Incidence of Colorectal Cancer According to Lifestyle Risk.,39088221,"IMPORTANCE:Aspirinreduces the risk of colorectal cancer (CRC). Identifying individuals more likely to benefit from regularaspirinuse for CRC prevention is a high priority. ...The 10-year cumulative CRC incidence was 1.98% (95% CI, 1.44%-2.51%) among participants …"
5,Aspirinis associated with improved outcomes in patients with sepsis-induced myocardial injury: An analysis of the MIMIC-IV database.,39245010,"BACKGROUND: The effectiveness ofaspirintreatment in septic patients remains a subject of debates. OBJECTIVE: To explore the association betweenaspirinusage and the prognosis of patients with sepsis-induced myocardial injury (SIMI), as well as the timing ofas…"
6,Aspirin162 mg vs 81 mg for preeclampsia prophylaxis in high-risk obese individuals: a comparative effectiveness open-label randomized trial (ASPREO).,38977068,"Recent data also suggest that in the obese population, inadequate dosing oraspirinresistance may impact the efficacy ofaspirinat the currently recommended doses. ...With the best estimate of a 12% reduction when using 162 mg ofaspirincompared with 81 mg …"
7,Aspirinuse in patients with elevated lipoprotein(a): Impact on cardiovascular events and bleeding.,39191359,The primary objective of this systematic review was to evaluate the cardiovascular benefits and bleeding risks associated withaspirinuse in patients who have elevated Lp(a) levels but no history of cardiovascular disease. ...This systematic review suggests thataspiri…
8,Aspirinvs. clopidogrel monotherapy after percutaneous coronary intervention: 1-year follow-up of the STOPDAPT-3 trial.,39215959,"METHODS: In the STOPDAPT-3, patients with acute coronary syndrome or high bleeding risk (HBR) were randomly assigned to either 1-month dual antiplatelet therapy withaspirinand prasugrel followed byaspirinmonotherapy (aspiringroup) or 1-month prasugrel mo …"
9,Role ofaspirinin cancer prevention.,39923320,"Aspirin[1], also known as acetylsalicylic acid, is a common non-steroidal anti-inflammatory drug (NSAID). ...Aspirinhas been extensively studied for the prevention and treatment of colorectal cancer. ..."
